pais1;Source;pais2;Target;valor_exportacion;;
USA;United States;PER;Peru;8233.0;;
VEN;Venezuela;PER;Peru;109570704.0;;
ARE;United Arab Emirates;PHL;Philippines;421127296.0;;
AUS;Australia;PHL;Philippines;59763708.0;;
IDN;Indonesia;PHL;Philippines;26599818.0;;
IRN;Iran, Islamic Republic of;PHL;Philippines;479853152.0;;
KOR;Korea, Republic of;PHL;Philippines;13306104.0;;
MYS;Malaysia;PHL;Philippines;113804104.0;;
NZL;New Zealand;PHL;Philippines;8113514.0;;
OMN;Oman;PHL;Philippines;177735008.0;;
QAT;Qatar;PHL;Philippines;98067480.0;;
SAU;Saudi Arabia;PHL;Philippines;693310080.0;;
SGP;Singapore;PHL;Philippines;3161810.0;;
THA;Thailand;PHL;Philippines;5242266.0;;
BLR;Belarus;POL;Poland;40124492.0;;
CZE;Czechia;POL;Poland;4838770.0;;
DEU;Germany;POL;Poland;2930.0;;
GBR;United Kingdom;POL;Poland;78692992.0;;
HUN;Hungary;POL;Poland;1819719.0;;
KAZ;Kazakstan;POL;Poland;48068448.0;;
LTU;Lithuania;POL;Poland;59473824.0;;
NOR;Norway;POL;Poland;19873422.0;;
SVK;Slovakia;POL;Poland;2851105.0;;
UKR;Ukraine;POL;Poland;16510768.0;;
USA;United States;POL;Poland;48256.0;;
ANS;#N/D;POL;Poland;1834136.0;;
AGO;Angola;PRT;Portugal;41760528.0;;
DNK;Denmark;PRT;Portugal;32287634.0;;
EGY;Egypt;PRT;Portugal;67318488.0;;
ESP;Spain;PRT;Portugal;1075.0;;
GBR;United Kingdom;PRT;Portugal;127797720.0;;
IRN;Iran, Islamic Republic of;PRT;Portugal;268266640.0;;
IRQ;Iraq;PRT;Portugal;137592576.0;;
ITA;Italy;PRT;Portugal;5617.0;;
MEX;Mexico;PRT;Portugal;122090032.0;;
NGA;Nigeria;PRT;Portugal;689660672.0;;
NOR;Norway;PRT;Portugal;87818584.0;;
RUS;Russia Federation;PRT;Portugal;45664224.0;;
SAU;Saudi Arabia;PRT;Portugal;301714240.0;;
SYR;Syrian Arab Republic;PRT;Portugal;19433932.0;;
ANS;#N/D;PRT;Portugal;202459.0;;
